緯度情報,経度情報,愛工大からの距離,データ名
35.2296661463,136.7708265781,143.8757276785,愛知県植木センター
35.3635400267,136.9056646840,143.8762585762,川田家住宅主屋
35.3419839149,136.8846135290,143.8766228237,宮後八幡社本殿
35.2466530139,136.7893338203,143.8767684271,荻須記念美術館
35.1761498315,136.7192745209,143.8772438637,堀田家住宅
35.1764994867,136.7199198944,143.8774515828,旧堀田家住宅（愛知県津島市禰宜町） 
35.1766645239,136.7203906816,143.8776668970,旧堀田廣之家住宅
35.1787208725,136.7234210945,143.8783486478,旧津島信用金庫
35.1787368186,136.7234855890,143.8783828665,津島市観光交流センター（まつりの館　津島屋）
35.2991990610,136.8444156647,143.8784842118,産直広場南小渕店
35.1736241512,136.7204976082,143.8798964559,天王川公園
35.1736767703,136.7206585407,143.8799727464,天王川公園
35.1644978602,136.7117196169,143.8801683304,JAあいち海部グリーンセンター津島店
35.1643363393,136.7115926743,143.8801932023,ＪＡあいち海部グリーンセンター津島店 （愛菜耕房）
35.1318783305,136.6801674257,143.8810239203,船頭平閘門
35.1318338064,136.6802000999,143.8810785275,船頭平閘門
35.1317241268,136.6801893711,143.8811486988,【海部】船頭平閘門
35.1774610803,136.7265020709,143.8814155393,寳泉寺書院（旧服部家住宅書院）
35.2558858134,136.8054896937,143.8816419151,尾張大国霊神社拝殿
35.2556243367,136.8054688743,143.8818123162,尾張大国霊神社楼門
35.1441169911,136.6941690445,143.8822275412,【海部】立田道の駅
35.3861646026,136.9367557091,143.8822451866,犬山頭首工
35.1441941812,136.6943830443,143.8823238166,立田ふれあいの里
35.1441941812,136.6943830443,143.8823238166,道の駅「立田ふれあいの里」
35.1656048750,136.7159006466,143.8823343087,愛知県立津島高等学校正門門柱（旧愛知県津島中学校正門）
35.3883598170,136.9392812393,143.8824792281,国宝　犬山城天守
35.3876684977,136.9393340130,143.8830053128,犬山城跡
35.2522867681,136.8039357662,143.8830922865,産直広場国府宮店
35.2522848516,136.8040660841,143.8831856831,国府宮の農産物直売所
35.3815432828,136.9338466254,143.8834553264,西蓮寺
35.2398659125,136.7931228801,143.8842496255,性海寺多宝塔
35.2400111648,136.7934912443,143.8844069195,あじさい寺（大塚性海寺歴史公園）
35.2400024470,136.7935507673,143.8844551265,あじさい寺（大塚性海寺歴史公園）
35.2399483619,136.7935510150,143.8844935948,性海寺本堂及び宝塔
35.3880316892,136.9421661529,143.8847514800,旧正伝院書院
35.3835175952,136.9376609436,143.8847568460,国登録
35.3879509917,136.9423975361,143.8849721720,国宝　如庵
35.3918705773,136.9464486847,143.8850662503,木曽川
35.3828848958,136.9375134842,143.8850998966,専念寺
35.3591846883,136.9139115375,143.8851693293,ふれあい青空市（扶桑町）
35.3837715005,136.9392170661,143.8856778139,井上家住宅
35.3840425859,136.9395685312,143.8857347090,山田家住宅主屋
35.3839349957,136.9398770301,143.8860289475,車山蔵
35.3829943535,136.9389589053,143.8860446990,大島家住宅茶室
35.2200343618,136.7759785838,143.8861860278,緑花木販売センター
35.3833305553,136.9396145546,143.8862706721,伊藤家住宅
35.3842255488,136.9409989400,143.8866169432,宮田家住宅
35.3823743368,136.9392319945,143.8866761897,瀧野家住宅蔵
35.3821043695,136.9394749018,143.8870388444,遠藤家住宅主屋
35.3829262840,136.9403421435,143.8870710480,小島家住宅
35.3817436608,136.9393988658,143.8872401006,高木家住宅
35.3833964577,136.9411113187,143.8872825921,三井家住宅
35.3815096461,136.9395866363,143.8875383438,旧磯部家住宅
35.3808627712,136.9395160675,143.8879457932,犬山どんでん朝市
35.3819442627,136.9406200557,143.8879618907,川村家住宅
35.3808073958,136.9395531003,143.8880111342,ま野家住宅
35.3834977648,136.9422667707,143.8880281104,佐橋家住宅主屋
35.3788964686,136.9381519032,143.8883713117,祥雲寺
35.3822067376,136.9418859017,143.8886715240,圓明寺
35.3834139990,136.9431987273,143.8887464222,旧小守家住宅主屋
35.3816490361,136.9418206137,143.8890196538,浄誓寺本堂
35.1726309585,136.7325058579,143.8890746571,国登録
35.2559536943,136.8163142244,143.8892393185,萬徳寺多宝塔
35.3830855419,136.9435777375,143.8892466824,梅田家住宅
35.2560897022,136.8165883816,143.8893366855,万徳寺鎮守堂
35.2985001924,136.8590901164,143.8893477047,一宮桜まつり（青木川）
35.3788598418,136.9396056670,143.8894252818,堀部家住宅
35.3901208154,136.9508786137,143.8894363539,東之宮古墳
35.3831677850,136.9441828931,143.8896165103,奥村家住宅
35.3855893385,136.9473353322,143.8901339769,妙感寺古墳
35.3776194366,136.9399565152,143.8905504012,徳授寺
35.1545562408,136.7172789574,143.8911355734,鈴木家住宅
35.3869389390,136.9509421256,143.8917307242,尾関家住宅
35.2053648441,136.7694532871,143.8919677629,【海部】二十五菩薩来迎会
35.2054262092,136.7696678638,143.8920757915,蓮華寺寺叢
35.2054042931,136.7697161436,143.8921253980,蓮華寺寺叢
35.2053673440,136.7697868434,143.8922014794,蓮華寺のカヤノキ
35.2055103891,136.7701857708,143.8923818107,蓮華寺庭園
35.3563845232,136.9242963787,143.8944920210,長泉塚古墳
35.2593302026,136.8276195348,143.8948347622,産直広場下津店
35.3951637794,136.9636241228,143.8948861788,寂光院
35.3533421297,136.9220058642,143.8950240214,覚王寺
35.3284135351,136.9100546837,143.9042055063,【尾張】大口歴史民俗資料館
35.3283754205,136.9102236472,143.9043519062,大口町朝市会
35.3276345027,136.9096899033,143.9044986594,【尾張】北愛知の文化
35.2256127828,136.8086779118,143.9053259720,愛知西のその他各直売所（産直広場大里店）
35.1399222726,136.7233635485,143.9057985156,八幡社本殿
35.2772927421,136.8638971266,143.9077510819,産直センター岩倉店
35.2744780531,136.8630062410,143.9091134388,大地遺跡
35.1288087878,136.7169061303,143.9091178250,服部家住宅（愛知県海部郡弥富町） 
35.1287539460,136.7169141769,143.9091623671,【海部】服部家住宅
35.2827392136,136.8719459478,143.9095842568,岩倉野菜の広場
35.1936695785,136.7832720280,143.9100065023,【海部】湯の花神事
35.1764765860,136.7703243365,143.9130434166,朝市かもり
35.1762287578,136.7706012726,143.9134144452,【海部】朝市かもり
35.3531412148,136.9489194860,143.9141961748,国登録
35.2333610708,136.8312543331,143.9157850139,長光寺地蔵堂
35.3756316278,136.9740629196,143.9160770130,中島池
35.2780558701,136.8773713170,143.9167318299,五条川の桜と尾北自然歩道
35.2780558701,136.8773713170,143.9167318299,五条川の桜と尾北自然歩道
35.3459745815,136.9457130044,143.9169964098,吉野家住宅
35.3505922647,136.9520350637,143.9182016124,旧加茂郡銀行羽黒支店
35.3265382126,136.9286862044,143.9187031457,青塚古墳
35.2373122105,136.8411433697,143.9199729236,五条川の桜
35.3647907317,136.9719205325,143.9222256789,神明社楼門
35.2466354899,136.8545007706,143.9228091931,【尾張】西春日井の伝統文化
35.2449802000,136.8547212585,143.9241365449,グリーン西春日井
35.1063227321,136.7186307907,143.9262706029,【海部】海部水郷地帯の酒
35.3701018799,136.9846407684,143.9274677814,犬山里山学センター
35.3701018799,136.9846407684,143.9274677814,犬山里山学センター
35.1061999658,136.7210168537,143.9280409101,弥富市歴史民俗資料館
35.1045936224,136.7194569111,143.9280788991,【海部】水郷の塔
35.1044448884,136.7193152019,143.9280843431,水郷の塔
35.1044448884,136.7193152019,143.9280843431,水郷の塔
35.1838184738,136.7990863323,143.9281481074,七宝焼アートヴィレッジ
35.1094780432,136.7245799303,143.9282313638,YaToMiAQUA（弥富金魚水族館）
35.1836650204,136.7990648746,143.9282416330,七宝焼アートヴレッジ
35.1097632879,136.7250251770,143.9283433296,【海部】文鳥
35.1093946639,136.7247784138,143.9284304856,弥富の金魚市場
35.1888208974,136.8049335480,143.9287338514,【海部】ハナショウブの風景
35.2794335874,136.8962191988,143.9290759004,宇都宮神社古墳
35.1686819266,136.7852372276,143.9290914976,JA海部東グリーンプラザ
35.1686819266,136.7852372276,143.9290914976,ＪＡ海部東グリーンプラザ
35.1972698206,136.8161380971,143.9306623754,水辺乃並木道
35.1970100023,136.8160915375,143.9308134733,【海部】水辺乃並木道
35.2928592565,136.9126081467,143.9311602868,小牧山
35.1786290938,136.7982670539,143.9312448397,らかんまき
35.2927892006,136.9126939774,143.9312705103,小牧山
35.1784737389,136.7981529236,143.9312742892,【海部】らかんまき
35.3126371191,136.9327189780,143.9313858870,熊野神社の五枚岩
35.2925762574,136.9127884175,143.9314879006,小牧山
35.1136863975,136.7341125011,143.9319743996,金魚、金魚池
35.1780106422,136.7994336363,143.9325064399,七宝町のラカンマキ
35.1204263327,136.7417997122,143.9326220991,水の館
35.1203210255,136.7418104410,143.9327042915,水の館
35.1108603734,136.7325782776,143.9328946671,金魚日本一大会
35.1499837486,136.7727072532,143.9334919224,名古屋西流通センター　土曜特売市
35.2012094479,136.8246960640,143.9339160145,いきいき朝市甚目寺
35.2169809703,136.8407793252,143.9341082712,五条川の桜（清須）
35.1012669580,136.7249822617,143.9343346023,【海部】立田輪中人造堰樋門
35.1013475675,136.7252333633,143.9344546165,立田輪中人造堰樋門
35.1013475675,136.7252333633,143.9344546165,立田輪中人造堰樋門
35.2164711571,136.8411970139,143.9347641900,清須の自然と歴史
35.2162958522,136.8412935734,143.9349564924,清須の自然と歴史
35.2917793726,136.9186852478,143.9362195029,愛知県立小牧高等学校正門門柱（旧愛知県小牧中学校正門）
35.1948795116,136.8229901791,143.9371933740,【海部】甚目寺観音
35.1944492464,136.8227500293,143.9373284554,甚目寺
35.1940985621,136.8230589849,143.9377949313,甚目寺南大門
35.3089986012,136.9391406397,143.9384990274,岩崎清流亭の藤
35.1934679212,136.8234246969,143.9384997157,甚目寺歴史民俗資料館
35.3089263841,136.9390858575,143.9385113771,岩崎の清流亭の藤
35.2186587653,136.8514167553,143.9404337379,貝殻山貝塚
35.2211729300,136.8545707138,143.9408817388,朝日貝塚（検見塚）
35.2177859317,136.8515074253,143.9411156535,【尾張】朝日遺跡
35.1123611624,136.7472016811,143.9421488123,JAあいち海部グリーンセンター 十四山店（菜々耕房）
35.1123787153,136.7474162579,143.9422877767,ＪＡあいち海部グリンセンター 十四山店（菜々耕房）
35.2500087809,136.8856143951,143.9424032298,【尾張】北名古屋市歴史民俗資料館（昭和日常博物館）
35.3299715773,136.9665527344,143.9430481175,【尾張】春日井・小牧の伝統文化
35.3303845680,136.9670311870,143.9430944076,大縣神社
35.1487665703,136.7867696285,143.9442797900,【海部】須成祭
35.1478389442,136.7875953816,143.9455197420,冨吉建速神社本殿
35.1468454862,136.7868952125,143.9457292572,蟹江町観光交流センター（祭人（さいと））
35.1475147034,136.7876846857,143.9458124567,八剱社本殿
35.2518506488,136.8925855168,143.9460253703,旧加藤家住宅
35.3471758789,136.9887299727,143.9465672179,明治村帝国ホテル中央玄関
35.3463819179,136.9882476273,143.9467873914,明治村高田小熊写真館
35.3465176659,136.9886103943,143.9469479845,明治村宮津裁判所法廷
35.3470323315,136.9891923737,143.9469957320,明治村名鉄岩倉変電所
35.3463827934,136.9888417315,143.9472069469,明治村金沢監獄
35.3461486028,136.9889632659,143.9474584673,明治村前橋監獄雑居房
35.3462569669,136.9890950520,143.9474750615,明治村東京駅警備巡査派出所
35.3470696451,136.9900504525,143.9475762258,明治村内閣文庫
35.3461492167,136.9893813380,143.9477537114,明治村天童眼鏡橋
35.3465556280,136.9899085455,143.9478392554,明治村隅田川新大橋
35.3468084107,136.9901720434,143.9478469043,明治村皇居正門石橋飾電燈
35.3460232601,136.9895466419,143.9479596690,明治村小那沙美島燈台
35.3454816184,136.9890087339,143.9479621645,明治村菊の世酒蔵
35.3465294527,136.9905027097,143.9482779811,明治村川崎銀行本店
35.3454465783,136.9897019264,143.9484771903,明治村聖ザビエル天主堂
35.3450676283,136.9894607135,143.9485745025,旧呉服座
35.3451309532,136.9896146003,143.9486385682,明治村半田東湯
35.3462687301,136.9909763595,143.9487972909,明治村大明寺聖パウロ教会堂
35.3448695420,136.9896151707,143.9488237826,明治村小泉八雲避暑の家
35.1337014295,136.7781581158,143.9488738424,尾張温泉
35.1337014295,136.7781581158,143.9488738424,尾張温泉（尾張温泉東海センター）
35.3447885111,136.9896813580,143.9489278796,明治村本郷喜之床
35.2707711428,136.9162559509,143.9493647455,エアフロントオアシス（空港北側）
35.3443477970,136.9903534221,143.9497147633,明治村工部省品川硝子製造所
35.1743850340,136.8203569009,143.9498464458,明眼院旧多宝塔
35.1329827430,136.7789296477,143.9499275134,尾張温泉（湯元館）
35.3444114413,136.9907273415,143.9499342194,旧伊勢郵便局舎(宇治山田郵便局舎)
35.1937616392,136.8399149179,143.9499365534,【海部】香の物祭
35.3437259469,136.9904427860,143.9502175973,明治村鉄道寮新橋工場
35.3416493733,136.9885522127,143.9503486270,旧山梨県東山梨郡役所
35.3417718970,136.9889625907,143.9505522337,明治村清水医院
35.3439074466,136.9912785157,143.9506803428,明治村六郷川鉄橋
35.3432578662,136.9908948656,143.9508682467,明治村歩兵第六連隊兵舎
35.1724182865,136.8198573589,143.9508865108,元気朝市おおはる
35.3427704276,136.9904338594,143.9508868146,明治村第四高等学校武術道場無声堂
35.3413622671,136.9891057618,143.9509430914,明治村第四高等学校物理化学教室
35.3438177194,136.9915647516,143.9509462153,明治村ハワイ移民集会所
35.3400806320,136.9880084547,143.9510731597,明治村三重県尋常師範学校・蔵持小学校
35.3435382320,136.9915323499,143.9511208893,明治村ブラジル移民住宅
35.3429786664,136.9910604929,143.9511827721,明治村日本赤十字社中央病院
35.3417058221,136.9897980940,143.9511898383,旧東松家住宅
35.3402524375,136.9883711139,143.9512081729,明治村大井牛肉店
35.3405503758,136.9886894935,143.9512226966,明治村第八高等学校正門
35.3409426707,136.9891235232,143.9512523029,旧三重県県庁舎
35.3432497144,136.9914889664,143.9512941810,旧名古屋衛戌病院
35.3398530675,136.9881150126,143.9513094067,明治村近衛局本部付属舎（皇宮警察坂下護衛署別館）
35.3416610086,136.9899742128,143.9513460771,明治村京都中井酒造
35.3416471854,136.9901078939,143.9514503931,明治村安田銀行会津支店
35.3413627547,136.9898450375,143.9514655818,明治村千早赤阪小学校講堂
35.3397475620,136.9883172177,143.9515270015,明治村赤坂離宮正門哨舎
35.3416231182,136.9903412461,143.9516324418,旧札幌電話交換局舎
35.3432055347,136.9921051477,143.9517612033,明治村シアトル日系福音教会
35.3405785980,136.9894925175,143.9517706601,明治村二重橋飾電燈
35.3417128231,136.9906845689,143.9518118305,明治村京都七條巡査派出所
35.3403439711,136.9893170114,143.9518124172,明治村鉄道局新橋工場
35.3399750986,136.9898018656,143.9524161065,明治村学習院長官舎
35.3391265390,136.9889676401,143.9524260524,旧日本聖公会京都聖約翰教会堂
35.3401740056,136.9902084737,143.9525630441,旧西郷従道住宅（旧所在　東京都目黒区上目黒） 
35.3415749838,136.9916287065,143.9525770054,明治村北里研究所本館
35.2416985680,136.8917296683,143.9526048202,白山社本殿
35.3403638489,136.9905821000,143.9526930653,明治村森鴎外・夏目漱石住宅
35.3424020158,136.9928973913,143.9528895763,明治村宗教大学車寄
35.3421525943,136.9928061962,143.9530014135,明治村神戸山手西洋人住居
35.3418222191,136.9925487041,143.9530528716,明治村長崎居留地二十五番館
35.3414458961,136.9922509789,143.9531083607,明治村芝川家住宅主屋
35.2414111088,136.8921701483,143.9531194640,高田寺本堂
35.1346902748,136.7858128133,143.9535758868,蟹江町まちなか交流センター 『みちくさの駅　楽人(がくと)』
35.3393818787,136.9909802669,143.9536689002,明治村東京盲学校車寄
35.3409170889,136.9929131591,143.9539505332,明治村幸田露伴住宅蝸牛庵
35.3412511824,136.9933084896,143.9539939299,明治村茶室亦楽庵
35.3418199423,136.9939123487,143.9540189064,旧菅島燈台付属官舎
35.3410800075,136.9933748627,143.9541618878,旧西園寺家興津別邸（坐魚荘） 
35.3416670311,136.9941437020,143.9542906331,旧品川燈台
35.3312297353,136.9852606607,143.9553876642,ヒトツバタゴ自生地
35.2609337753,136.9153654575,143.9556954172,神明公園
35.1868244881,136.8428872153,143.9569472318,實成寺
35.1313498011,136.7899432052,143.9588575471,甘強味淋
35.1315014425,136.7923346036,143.9604379894,海部水郷地帯の酒
35.3342079000,136.9954133034,143.9604619994,入鹿池
35.3341378799,136.9954454899,143.9605342660,入鹿池
35.1303115321,136.7913592361,143.9605925043,山口家住宅
35.1795919175,136.8417630618,143.9612743945,下萱津のフジ
35.1003540765,136.7649579048,143.9631859357,三ツ又池公園
