緯度情報,経度情報,愛工大からの距離,データ名
35.1728495124,136.9239116823,144.0240676378,名古屋カテドラル聖ペトロ聖パウロ大聖堂
35.3035858449,137.0551621914,144.0243687316,少年自然の家
35.3035946007,137.0552480221,144.0244232523,少年自然の家
35.1511125389,136.9028701390,144.0245922141, 真宗大谷派名古屋別院東門及び土塀
35.1686095069,136.9217251466,144.0255241864,神谷家住宅
35.1838416301,136.9387254739,144.0267532340,愛知県立旭丘高等学校正門門柱（旧愛知県立第一中学校正門）
35.3025526517,137.0583057404,144.0273225983,都市緑化植物園 (グリーンピア春日井)
35.3025570297,137.0584237576,144.0274029807,都市緑化植物園（グリーンピア春日井）
35.1031701733,136.8602205306,144.0284252569,荒子川公園ガーデンプラザ
35.2682571651,137.0256042480,144.0284425342,ファーマーズマーケットぐぅぴぃひろば 
35.2438652522,137.0029547845,144.0296788964,密蔵院多宝塔
35.2232771756,136.9845517830,144.0312333349,龍泉寺仁王門
35.1575194012,136.9197945993,144.0320105799,名古屋大学医学部附属病院門及び外塀
35.1566975228,136.9191246717,144.0321191640,名古屋市公会堂
35.1551028879,136.9194835915,144.0335014842,鶴舞公園
35.1538859574,136.9239544928,144.0375208983,八幡山古墳
35.2045305145,136.9750056640,144.0377491935,無縫塔
35.1314866540,136.9031942936,144.0387159050,断夫山古墳
35.1491806231,136.9240672431,144.0409313184,旧藤山家住宅日本家
35.0727345793,136.8489432335,144.0420234460,藤前干潟
35.0726731142,136.8489539623,144.0420745608,藤前干潟
35.1677044128,136.9481322859,144.0448197248,爲三郎記念館
35.1259259816,136.9079741440,144.0460284633,龍影閣（旧名古屋博物館品評所）
35.1252233923,136.9082287243,144.0467056925,又兵衛（旧坂上家住宅）
35.1715945332,136.9550145397,144.0469289295,草結庵
35.1737263594,136.9575560610,144.0472159103,日泰寺奉安塔
35.1680199770,136.9522683545,144.0475184718,松楓閣
35.2552091808,137.0443738966,144.0509410036,志段見古墳群
35.2111553221,137.0053929515,144.0545391589,どうだん亭（旧浅井家住宅離れ）
35.0934735249,136.8875996767,144.0546218688,名古屋港跳上橋（旧1・2号地間運河可動橋）
35.1669901609,136.9614264938,144.0547175860,愛知学院大学楠元学舎第1号館
35.2516471858,137.0483279228,144.0562556376,東谷山フルーツパーク
35.2516515665,137.0483601093,144.0562752997,東谷山フルーツパーク
35.1320615312,136.9302031440,144.0573837899,愛知県立瑞陵高等学校正門門柱（旧愛知商業学校正門）
35.2185296115,137.0199660318,144.0596242215,旭サナック本館(旧旭兵器製造本社事務棟)
35.2814352434,137.0835071635,144.0600758983,旧中央線玉野第三隧道
35.2842419305,137.0867800713,144.0604070754,旧中央線玉野第四隧道
35.2862737404,137.0894944668,144.0608910037,旧中央線傘石洞暗渠
35.1429163808,136.9468638948,144.0614681281,鈴木家住宅主屋
35.2212305404,137.0271331072,144.0627804479,長池
35.2210640105,137.0276319981,144.0632509161,【尾張】城山公園及び長池・維摩池
35.2204329468,137.0273154974,144.0634735044,城山公園
35.1421400217,136.9507335473,144.0647511505,川原田家住宅
35.1349488741,136.9435464150,144.0647645077,東山荘
35.1425703404,136.9512815626,144.0648336850,南山学園ライネルス館
35.1401969734,136.9498502019,144.0655024842,旧渡辺家書院及び茶室
35.2803577037,137.0908945799,144.0660630948,定光寺
35.2803533246,137.0908999443,144.0660699848,【尾張】定光寺
35.2803252658,137.0911115102,144.0662394727,定光寺本堂
35.2253181742,137.0363553239,144.0664092321,維摩（いま）池
35.1345287370,136.9459038393,144.0667270801,暮雨巷
35.2409487675,137.0525658131,144.0668171962,森林公園
35.2409224797,137.0527052879,144.0669344070,森林公園
35.2804612499,137.0923535992,144.0670219688,源敬公（徳川義直）廟
35.1533460546,136.9680999012,144.0690883824,名古屋大学豊田講堂
35.1231454534,136.9421163526,144.0721098895,大曲輪貝塚
35.2152114203,137.0348666361,144.0725047579,尾張旭グリーンセンター及び産直センター
35.1399034078,136.9624821735,144.0746336404,興正寺五重塔
35.1052586782,136.9315908671,144.0773393005,富部神社本殿
35.1542680380,136.9821702276,144.0783769460,名古屋市東山植物園温室前館
35.0954064455,136.9347099663,144.0865175541,七所神社本殿
35.1565316474,137.0115140417,144.0975097203,梵音寺本堂
35.1565053323,137.0119271019,144.0978202334,蓮教寺
35.0439111392,136.9057416916,144.1025321480,【知多】聚楽園公園
35.1785403024,137.0430395661,144.1042202821,長久手古戦場附御旗山
35.1828812044,137.0479849254,144.1046454351,長久手グリーンセンター
34.9548385426,136.8228721619,144.1071765547,新舞子マリンパーク（知多市）
34.9547725921,136.8229687214,144.1072914111,新舞子マリンパーク
35.1860609098,137.0549418274,144.1073141878,長久手古戦場附色金山
35.0649855498,136.9336799137,144.1073307804,萬乗醸造
35.1837331275,137.0527380312,144.1074027666,長久手古戦場附首塚
34.9991101188,136.8679225445,144.1075803274,【知多】知多市歴史民俗博物館
34.9990708398,136.8680367837,144.1076887692,知多市歴史民俗博物館（知多市）
35.0153499202,136.8847990036,144.1079830730,東海フラワーショウ
35.2069210635,137.0775824468,144.1085680805,瀬戸グリーンセンター とれたて館
34.9876665048,136.8581378460,144.1087857654,【知多】妙楽寺
35.0646479180,136.9362574170,144.1093897845,大高城跡　附　丸根砦跡　鷲津砦跡 
34.9920525337,136.8640065193,144.1098182994,【知多】牟山神社
34.9618465794,136.8336921930,144.1098404971,【知多】日長神社
35.0618407066,136.9343357035,144.1100208134,春江院
35.2281269042,137.1012573400,144.1103155978,旧山繁商店
34.9957571826,136.8687486649,144.1105391359,【知多】栖光院
35.2302708469,137.1041661501,144.1108570622,ノベルティ・こども創造館
35.1735061857,137.0480095297,144.1112942513,長久手古戦場
35.1732733560,137.0484888554,144.1117977572,【尾張】長久手市郷土資料室
35.2254506440,137.1007436514,144.1118444200,瀬戸蔵
35.2404677022,137.1157828208,144.1118647234,道の駅瀬戸しなの
35.2253892941,137.1007490158,144.1118915883,【尾張】瀬戸蔵
35.0786257957,136.9539280380,144.1119702303,瑞泉寺総門
35.1844792594,137.0603791471,144.1122766329,長久手温泉ござらっせ
35.0231259561,136.8990790844,144.1125526357,【知多】弥勒寺
35.1851565490,137.0617617708,144.1127750180,あぐりん村
35.1851565490,137.0617617708,144.1127750180,あぐりん村
35.0195587365,136.8965792656,144.1133153423,【知多】観福寺
35.2246950851,137.1022365241,144.1134343782,新世紀工芸館
35.2264365448,137.1054759482,144.1144941687,瀬戸永泉教会礼拝堂
35.2171460774,137.0987319946,144.1162932993,【尾張】瀬戸市南公園・萩殿の森
35.2246136523,137.1073043346,144.1170760134,瀬戸染付工芸館
35.0132658224,136.8975256439,144.1184413903,観福寺本堂内宮殿
34.9811617408,136.8653690815,144.1184974252,【知多】福生寺
35.0132027930,136.8975587218,144.1185093884,観福寺本堂
35.0221287318,136.9068038464,144.1187113443,東海市立農業センター
35.0221243387,136.9068360329,144.1187371745,東海市立農業センター
35.2147093256,137.1015912294,144.1200381561,瀬戸市南公園・萩殿の森
34.9326034564,136.8262656176,144.1253331354,常滑市大野町のイブキ
35.1141216758,137.0109380587,144.1271131655,名古屋市農業センター delaふぁーむ
35.1141216758,137.0109380587,144.1271131655,名古屋市農業センターdelaふぁーむ
34.9671127109,136.8653348472,144.1284296839,旧岡田医院
34.9666091933,136.8657119912,144.1290526074,旧中七木綿本店
34.9656317251,136.8666082621,144.1303776684,【知多】岡田地区
34.9647747180,136.8672927532,144.1314679473,知多岡田簡易郵便局
35.0672141453,136.9704699881,144.1317317432,中濱家住宅
34.9648585361,136.8678162818,144.1317778910,木綿蔵ちた
35.0666740497,136.9709537095,144.1324557412,住宅（服部家）
35.1289325882,137.0334516168,144.1325399808,旧市川家住宅主屋
35.2401776557,137.1448123455,144.1326041843,【尾張】岩谷堂公園
35.0663583800,136.9708557847,144.1326100816,棚橋家住宅主屋
35.2400888168,137.1448672531,144.1327058180,岩屋堂公園
35.0664941116,136.9711734245,144.1327383026,服部幸平家住宅　倉
35.1310835947,137.0395570993,144.1353324953,農産振興クラブ 及び日進野菜研究会
34.9724849878,136.8820416927,144.1364097202,【知多】浄蓮寺
34.9718695803,136.8820953369,144.1368836718,【知多】正法院
34.9719091424,136.8822079897,144.1369351210,【知多】誕生堂
34.9709596479,136.8818432093,144.1373505950,【知多】如意寺
34.9714205000,136.8824206330,144.1374314274,【知多】密厳寺
35.1737118497,137.0890331268,144.1401491174,愛・地球博記念公園（モリコロパーク）
35.1737337743,137.0890867710,144.1401715377,【尾張】愛地球博記念公園
35.0599738151,136.9809135056,144.1442332444,桶狭間古戦場伝説地
34.9623903250,136.8832485702,144.1444148585,【知多】水の生活館
35.1864797489,137.1082270145,144.1446910119,【尾張】２００５年記念と長久手
35.2223124595,137.1449928451,144.1453595284,雲興寺鐘楼
34.9670164909,136.8900078535,144.1459056176,佐布里緑と花のふれあい公園（知多市）
35.1879089974,137.1113973856,144.1459221803,あいち海上の森センター
35.1878783083,137.1113705635,144.1459249142,あいち海上（かいしょ）の森センター
34.9669021936,136.8900346756,144.1460055371,佐布里緑と花のふれあい公園
35.0992480717,137.0263552666,144.1485316738,【尾張】涼松せせらぎの道
35.0992217381,137.0263445377,144.1485427300,涼松（すずみまつ）せせらぎの道
34.9622070770,136.8908607960,144.1499155565,佐布里池
34.9621015657,136.8909895420,144.1500811653,佐布里池（知多市）
35.0052048161,136.9369840622,144.1520023470,おはよう君
34.9145059260,136.8514860143,144.1559502357,【知多】前山ダム公園
34.9145521233,136.8516317154,144.1560202422,前山ダム公園
34.9145521233,136.8516317154,144.1560202422,前山ダム公園
34.9130917783,136.8512932086,144.1568168129,前山ダム
35.0214594414,136.9617798713,144.1579943490,収穫体験〔ぶどう狩り〕
35.0335104235,136.9739341736,144.1580421278,豊明フレッシュセンター 及び西部産直センター
35.0004767415,136.9410932064,144.1582519562,【知多】常福寺
35.2176268451,137.1627891100,144.1612601365,瀬戸窯跡
35.0732506129,137.0189983984,144.1617342510,豊明のナガバノイシモチソウ
34.9231786564,136.8692642122,144.1623413003,篭池古窯
34.9988508534,136.9476270676,144.1640157623,【知多】あいち健康の森
34.9931380176,136.9430619478,144.1648399775,ＪＡあぐりタウン げんきの郷
34.9931072551,136.9432175159,144.1649715771,ＪＡあぐりタウン　げんきの郷（大府市）
35.0857025350,137.0371809368,144.1657663379,祐福寺一里塚
34.9478317015,136.8992505426,144.1660221573,草木農産物直売所
35.0130477203,136.9652250409,144.1663838649,大倉公園休憩棟（旧大倉和親別荘離れ）
35.0126479041,136.9658526778,144.1671101317,大倉公園茅吹門（旧大倉和親別荘表門）
35.0477825903,137.0036100625,144.1688934920,阿野一里塚
35.0973388935,137.0537358154,144.1692286635,東郷町文化産業まつり
35.1308247482,137.0889151096,144.1703996612,愛知牧場
35.1308115865,137.0890760422,144.1705227251,愛知牧場
35.0840601978,137.0449533557,144.1724199484,祐福寺勅使門
34.9903235773,136.9518892508,144.1730644706,東浦ぶどう　ぶどう狩り
35.0875814185,137.0498449762,144.1733842046,東郷グリーンセンター
35.1168896914,137.0801925659,144.1740923824,愛知池
35.1169160194,137.0804929733,144.1742860734,【尾張】愛知池
34.8852280283,136.8486474835,144.1747064996,大善院のイブキ
35.0410161649,137.0062979604,144.1755821984,愛知豊明花き地方卸売市場
35.0410161649,137.0062979604,144.1755821984,愛知豊明花き地方卸売市場
35.1930713483,137.1588699623,144.1758453525,猿投山の球状花崗岩
34.8817032412,136.8486283774,144.1771923169,窯のある広場・資料館（倒焔式角窯）
35.1189016877,137.0878597434,144.1780880258,黒笹七号窯
35.2011664913,137.1709937178,144.1786986110,猿投山と菊石
35.2011664913,137.1709937178,144.1786986110,猿投山・菊石
34.9919426661,136.9677382708,144.1831056068,【知多】極楽寺
34.9018060178,136.8781900406,144.1837875096,（いちご狩り）澤田農園
34.9865326034,136.9687306881,144.1876380305,【知多】傳宗院
34.9776893917,136.9615316391,144.1888200539,【知多】於大公園
34.9854496043,136.9696027626,144.1890207241,入海貝塚
35.0107323940,136.9971314381,144.1905511175,刈谷西部の縄文遺跡（天子神社貝塚）
35.0118632799,137.0000546190,144.1918144316,刈谷西部の縄文遺跡（八ツ崎貝塚）
34.9396685313,136.9288301468,144.1926776875,【知多】ふれあいの森
34.9291134706,136.9188498104,144.1931152831,グリーンプラザあぐい （農産物の直売）
34.9727135665,136.9626367092,144.1931247105,東浦町郷土資料館「うのはな館」
35.2053429280,137.1959406137,144.1933946584,【豊田加茂】金剛寺しだれ桜
35.2052596469,137.1959406137,144.1934535169,しだれ桜（金剛寺）
35.0638706061,137.0569614682,144.1951920221,小堤西池のカキツバタ群落
34.9920173761,136.9854730368,144.1955728877,刈谷市歴史博物館
35.0826210811,137.0765340328,144.1957525356,保田ケ池公園
35.0825245047,137.0764803886,144.1957829648,保田ケ池公園
35.0630576424,137.0572757721,144.1959894244,小堤西池のカキツバタ群落
35.0928135577,137.0879396895,144.1966009096,三好公園
35.0928135577,137.0879396895,144.1966009096,三好公園
34.9886158056,136.9837510586,144.1967662496,刈谷市亀城公園
35.0413777023,137.0372947520,144.1972191930,でんまぁと刈谷南 産直センター刈谷中部 産直センター刈谷北部
34.9984774200,136.9943083657,144.1972359548,刈谷西部の縄文遺跡（山の神遺跡）
34.8975207533,136.8938219547,144.1978509402,（いちご狩り）市野園芸
34.9878375830,136.9864110870,144.1991953486,刈谷市郷土資料館（旧亀城小学校本館）
35.0203078390,137.0192470600,144.1993883818,刈谷西部の縄文遺跡（芋川遺跡）
35.1491608263,137.1493694813,144.2001715946,うめこう桃梨苺園
34.9096334319,136.9106351757,144.2011255047,黒牛の里（半田市）
34.9396867334,136.9414352508,144.2015594964,板山長根古窯
34.9104902520,136.9126081467,144.2019100821,矢勝川堤に咲く百万本の彼岸花
34.9165046392,136.9189062579,144.2020907591,蓮慶寺
35.1752105959,137.1783648849,144.2022601216,旧龍性院庭園
34.8980927214,136.9009244442,144.2024553630,（いちご狩り）ベリーガーデンズ
35.2005649262,137.2076195424,144.2050340549,豊田市藤岡民俗資料館（旧藤岡中学校特別教室棟）
34.8908636310,136.8974590302,144.2051353199,ファーマーズマーケット　ブリオ
34.9908324499,136.9979319433,144.2052082746,愛知製鋼刈谷工場旧試作工場（旧豊田自動織機製作所自動車部試作工場）
34.8908998639,136.8977830722,144.2053381965,ファーマーズマーケット「ブリオ」（半田市）
35.0408982302,137.0484995842,144.2054733397,【西三河】刈谷ハイウェイオアシス
35.0410475607,137.0486605167,144.2054813210,刈谷ハイウェイオアシス
35.1988787099,137.2084424036,144.2068079072,旧山内家住宅
34.9788731398,136.9899684175,144.2080556599,刈谷西部の縄文遺跡（本刈谷貝塚）
34.8555163798,136.8669160464,144.2086560509,多賀の里
34.8555163798,136.8669160464,144.2086560509,多賀の里　農畜産物直売所
35.2709805577,137.2835971675,144.2090608417,西村自然農園
34.8558708097,136.8680740005,144.2092212200,多賀神社の社叢
34.8557431165,136.8679869175,144.2092503620,【知多】多賀大社
35.1601054817,137.1734393778,144.2094549190,池田第一号墳
35.0752638403,137.0906430879,144.2109283605,緑と花のセンター「さんさんの郷」
35.0752638403,137.0906430879,144.2109283605,緑と花のセンター「さんさんの郷」
34.9830472881,136.9982717705,144.2109615418,愛知県立刈谷高等学校正門門柱（旧愛知県刈谷中学校正門）
35.0442449240,137.0597541332,144.2110549224,阿地和池
35.0442317483,137.0598828793,144.2111551990,【豊田加茂】阿地和池
35.2754970818,137.2922436685,144.2119932546,大福魚苑
34.9279945187,136.9463490388,144.2133115298,大高山古窯
34.9346552150,136.9555020332,144.2150511374,【知多】福住寺
35.1474041976,137.1694872765,144.2156398647,舞木廃寺塔跡
34.8408673904,136.8651974201,144.2178322000,【知多】潮干狩り（大谷）
34.8699077883,136.8953356670,144.2184934339,壱町田湿地植物群落
34.8699471664,136.8956136703,144.2186615825,【知多】壱町田湿地
34.8699427652,136.8959569931,144.2189068360,壱町田湿地
34.9014942421,136.9289887651,144.2198419954,半田赤レンガ建物(旧カブトビール工場)
35.0128684859,137.0407925050,144.2198714942,知立神社
35.0124357938,137.0413506289,144.2205720008,知立神社多宝塔
34.8981191198,136.9273710251,144.2210927581,【知多】龍台院
35.1685111622,137.1983385086,144.2211237548,愛知県緑化センター・昭和の森
35.2237794548,137.2537699628,144.2212873866,たまご村
34.9945748761,137.0246205652,144.2214028103,萬福寺
34.9946768913,137.0250442501,144.2216297602,万福寺のイブキ
35.2619683733,137.2924606244,144.2217006857,小原村前洞の四季桜
34.8981390232,136.9283835064,144.2217929311,摂取院のイブキ
34.8964966889,136.9272962678,144.2221899019,旧中埜家住宅
34.8916766218,136.9240365669,144.2233065975,愛知県立半田商業高等学校正門門柱（旧愛知県知多郡立高等女学校正門）
34.9125489935,136.9454276562,144.2236060429,【知多】海蔵寺
34.8835546952,136.9176721573,144.2245738534,【知多】常楽寺
34.9059240467,136.9407872318,144.2250266536,【知多】光照寺
34.8956112308,136.9337493181,144.2273699277,【知多】光照院
34.8273157234,136.8661218032,144.2280943912,盛田味の館
34.8273157234,136.8661218032,144.2280943912,盛田味の館
34.8272351843,136.8660557270,144.2281049245,【知多】味の館
34.8953824371,136.9349777699,144.2283987362,國盛 酒の文化館
34.8953472380,136.9349724054,144.2284198979,國盛　酒の文化館（半田市）
34.8930018154,136.9334225148,144.2289887434,小栗家住宅
34.8250245817,136.8653583527,144.2291810290,【知多】潮干狩り（小鈴谷）
34.8931208651,136.9340765476,144.2293657740,MIZKAN MUSEUM
34.8931164651,136.9342160225,144.2294672889,MIZKAN MUSEUM
34.8924608616,136.9346129894,144.2302119874,半田運河
34.8924696617,136.9347310066,144.2302890090,半田運河（半田市）
34.8235996576,136.8672211095,144.2315048407,【知多】小脇公園
34.8236766261,136.8673156751,144.2315169236,小脇公園
34.8236766261,136.8673156751,144.2315169236,小脇公園
34.9725289453,137.0171070099,144.2317086680,【西三河】フローラルガーデンよさみ
34.9715311042,137.0172035694,144.2324834852,【西三河】依佐美送信所記念館
34.8161859819,136.8624240160,144.2333809304,知多半島の潮干狩り （坂井海岸）
34.8162432354,136.8625366688,144.2334197395,【知多】潮干狩り（坂井）
34.8163010064,136.8627972877,144.2335624924,知多半島の潮干狩り（常滑市）
34.8160292053,136.8625774420,144.2336002829,坂井海岸（常滑市）
34.9180280139,136.9657448708,144.2340601491,【知多】東光寺
34.9436481827,136.9915777445,144.2341415342,【西三河】吉浜細工人形
35.0033263485,137.0551360273,144.2367571930,旧東海道「池鯉鮒」の松並木
35.1939106898,137.2464573383,144.2372160351,【豊田加茂】ふじの回廊
35.1938712352,137.2464466095,144.2372363222,ふじの回廊
34.8068330560,136.8586437280,144.2373497895,知多半島の潮干狩り （上野間潮干狩り場）
34.8067297881,136.8586206436,144.2374067639,【知多】潮干狩り（上野間）
35.0011346086,137.0538791119,144.2374210791,JAあいち中央　グリーンセンター知立
34.9182586518,136.9715309143,144.2379798616,【知多】海潮院
35.2385828333,137.2937393188,144.2391219970,和紙のふるさと
35.2377153068,137.2936642170,144.2396815563,和紙のふるさと
35.1001420611,137.1575241285,144.2406019023,安長寺山門
34.7997085121,136.8581914902,144.2420844714,【知多】潮干狩り（奥田北）
34.7996469645,136.8581895924,144.2421267904,知多半島の潮干狩り （奥田北潮干狩り場）
34.8558503090,136.9147827081,144.2421747532,武豊町歴史民俗資料館（武豊町）
35.0091077957,137.0690978779,144.2425259958,八橋伝説地
34.7957037862,136.8567617477,144.2439173308,知多半島の潮干狩り （奥田中潮干狩り場）
34.7955853260,136.8567752838,144.2440109001,【知多】潮干狩り（奥田中）
35.2321973765,137.2958354230,144.2451158871,緑の公園
34.8574087686,136.9209188889,144.2453977581,三井家住宅
35.0869488759,137.1519170500,144.2459692300,喜楽亭
35.2447471571,137.3102608855,144.2464651084,四季桜・四季の回廊
34.8462873885,136.9113782682,144.2465533684,グリーンセンター武豊
35.1223055949,137.1895976617,144.2476071361,旧井上家住宅西洋館
35.1512242866,137.2185595307,144.2476465729,名鉄三河線旧三河広瀬駅舎
35.1203857484,137.1882147134,144.2479866225,枝下（しだれ）用水
34.8553095404,136.9225746884,144.2480537518,中定商店
35.0315208928,137.0993965125,144.2480668485,浄照寺
34.9214432192,136.9895982742,144.2484743902,【西三河】鬼のみち
35.0017887400,137.0702240435,144.2485024169,来迎寺一里塚
35.0015181939,137.0700928935,144.2486012976,来迎寺一里塚
35.0843287081,137.1544200182,144.2495918575,ＪＡあいち豊田各産直店
34.7799452996,136.8496513367,144.2500843675,【知多】潮干狩り（奥田南）
34.7800422328,136.8497800827,144.2501063409,知多半島の潮干狩り （奥田南潮干狩り場）
35.0804070533,137.1517417289,144.2504724452,七州城址公園・豊田市美術館
35.0797983700,137.1516090631,144.2508092067,七州城址(しちしゅうじょうし)公園＆豊田市美術館
35.0874662745,137.1608870047,144.2519443518,豊田市青少年相談所（旧愛知県蚕業取締所第九支所）
35.0425935542,137.1161878109,144.2520958921,竹村駅近くのビオトープ　（豊田市竹町上沖）
35.0425144984,137.1163058281,144.2522352251,【豊田加茂】竹村駅近くのビオトープ
34.9280387283,137.0028293612,144.2531406391,JAあいち中央　産直センター高浜
34.7692250725,136.8467194878,144.2556234312,野間郵便局旧局舎
34.8469461768,136.9249575770,144.2556632863,旧武豊港駅転車台
34.8010035728,136.8797671795,144.2563752587,ジョイフルファーム鵜の池
34.8008361852,136.8797028065,144.2564485954,ジョイフルファーム鵜の池（美浜町）
34.8450427307,136.9243070537,144.2565538883,旧国鉄武豊港駅転車台
34.8007254575,136.8798284662,144.2566157139,【知多】ジョイフルファーム鵜の池
34.9465781052,137.0285428762,144.2581608325,都市に広がる集団農地
34.8016913871,136.8833297533,144.2583989725,鵜の池（美浜町）
34.7709299104,136.8529978615,144.2588386723,大御堂寺客殿
34.7709668984,136.8533582467,144.2590664214,史跡大御堂寺
35.1413949732,137.2256635648,144.2596195772,如意寺
34.9025034984,136.9864336078,144.2596593927,伝統食品工場見学 ［七福醸造㈱ありがとうの里］
34.8022302023,136.8863224940,144.2601266897,鵜の山ウ繁殖地
34.7577622175,136.8444961309,144.2621893113,野間崎灯台（美浜町）
34.9058183009,136.9960516691,144.2640984843,伝統食品工場見学 ［ヤマシン㈱白しょうゆ醸造工場］
34.7563342583,136.8470978737,144.2650359027,食と健康の館
34.7562112190,136.8471660015,144.2651712094,食と健康の館（美浜町）
34.7724502529,136.8647843599,144.2660671919,【知多】法山寺
34.7551619030,136.8498229980,144.2677880958,【知多】良参寺
35.1397671497,137.2359571946,144.2680515678,名鉄三河線旧西中金駅
34.8868325772,136.9843782234,144.2693125921,熊野神社射小屋並びに南山矢取塚
34.8837201607,136.9828644440,144.2704498518,伝統食品工場見学 [スギ製菓　株式会社　工場]
34.9897231372,137.0900759702,144.2710655534,JAあいち中央 ファーマーズマーケット でんまぁと安城北部 
34.9341712194,137.0343982399,144.2710815474,榎前のクロガネモチ
34.7891622600,136.8896162510,144.2717168646,美浜町民の森（美浜町）
34.7891754767,136.8896538019,144.2717339627,美浜町民の森
35.1174713070,137.2242321295,144.2755188952,鷹見の里（たきみのさと）ビオトープ
34.8741161152,136.9807746583,144.2757808819,九重味淋大蔵
34.8739810592,136.9808843488,144.2759539822,伝統食品工場見学 [九重みりん時代館・九重味淋大蔵]
34.9046744682,137.0130729675,144.2769218728,【西三河】油ヶ淵
34.8853394367,136.9938537720,144.2770569565,愛知県立碧南高等学校正門門柱（旧愛知県碧南国民学校正門）
34.9046832670,137.0133626461,144.2771200929,油ヶ淵
35.0874673122,137.1972227097,144.2776330713,自然観察の森
35.0874102478,137.1973139048,144.2777379053,自然観察の森
34.9677012876,137.0791374755,144.2789292941,愛知県立安城農林高等学校正門門柱（旧愛知県安城農林学校正門）
34.8656995063,136.9770857682,144.2791426544,伝統食品工場見学 [株式会社　角谷文次郎商店]
34.9867699329,137.0997405052,144.2799826764,【西三河】明治川神社
34.9865918239,137.0999371518,144.2802476551,明治用水（明治川神社から中井筋）
34.9864710735,137.1003842354,144.2806489369,【西三河】明治用水沿線の桜並木、梨畑
35.0053070622,137.1207385927,144.2816967803,明治緑道水車公園の三連水車
35.0051476942,137.1207368374,144.2818083245,明治緑道（水車公園）
34.9673066293,137.0828318596,144.2818178460,明治用水
34.9672897705,137.0830553239,144.2819876037,明治用水（明治用水歴史資料室・豊田安城自転車道）
34.9870535032,137.1035405412,144.2824662497,永安寺の雲竜の松
34.8050912502,136.9214808941,144.2828866767,【知多】潮干狩り（上村）
34.8049205134,136.9215063792,144.2830257129,知多半島の潮干狩り （上村潮干狩り場）
34.8510020184,136.9688165188,144.2837251151,碧南市農業活性化センター　あおいパーク
34.8507466869,136.9686126709,144.2837622782,レストランだいどころ
34.8507819051,136.9688111544,144.2838773376,碧南市農業活性化センターあおいパーク
34.8026298139,136.9210650642,144.2843388298,知多半島の潮干狩り （大池潮干狩り場）
34.8025364756,136.9212448597,144.2845317922,【知多】潮干狩り（大池）
35.0454581981,137.1656034028,144.2849921692,豊田大塚古墳
35.0981244959,137.2184872627,144.2851340784,鞍ヶ池公園
34.9247572134,137.0459078995,144.2858744206,神谷家住宅
34.7983870005,136.9191044569,144.2859649661,知多半島の潮干狩り （河和口潮干狩り場）
34.7983781904,136.9191366434,144.2859939081,【知多】潮干狩り（河和口）
34.9444547756,137.0702036393,144.2890795063,都市に広がる集団農地
35.1980445414,137.3252499104,144.2900609794,お須原山縁結び岩
35.1980357742,137.3253357410,144.2901279308,お須原山縁結び岩
34.8459128477,136.9729793072,144.2902687518,前浜新田の松並木
34.7482376153,136.8747568130,144.2902724561,【知多】持宝院
34.8459867175,136.9731834695,144.2903604223,碧南市前浜新田の松並木
34.9308466489,137.0608270168,144.2920949882,安城市デンパーク
34.9308290569,137.0609664917,144.2922059224,安城産業文化公園デンパーク
35.0492866658,137.1797454357,144.2922802025,水源公園
34.9305211974,137.0612132549,144.2925981640,和食処「ふるさと館」の郷土料理
34.7858051498,136.9169211388,144.2933478090,知多半島の潮干狩り （北方潮干狩り場）
34.7856994119,136.9169211388,144.2934227942,【知多】潮干狩り（北方）
34.8431949500,136.9749942082,144.2936165009,農家れすとらん葉菜の舎（はなのや） 
34.7396111948,136.8735229969,144.2955229667,【知多】如意輪寺
34.9294920585,137.0650327206,144.2960237086,産直センター「道の駅」デンパーク安城
34.7607294837,136.8962613870,144.2965680351,いちご狩り・みかん狩り
34.7332159056,136.8693676012,144.2971319760,内海海水浴場（南知多町）
34.7339905334,136.8721282482,144.2985278174,【知多】泉蔵院
34.7346655798,136.8734730523,144.2989965804,旧内田佐平二家住宅
34.7345399017,136.8738909250,144.2993802299,旧内田家住宅
35.2432135907,137.3836361172,144.2995068893,時瀬のイチョウ
35.2431087175,137.3836040497,144.2995582139,時瀬大いちょう
35.2429904256,137.3836147785,144.2996493221,時瀬大いちょう
35.0413373175,137.1835903466,144.3006209907,琴平町シデコブシ自生地
35.1426766596,137.2852790447,144.3008891187,足助みたち栗園 
34.9488170857,137.0950190065,144.3035149738,ＪＡあいち中央 産直センター安城東部
34.9904474964,137.1399056917,144.3057547462,北野廃寺跡
34.8805402849,137.0351046324,144.3095687673,【西三河】紅樹院（茶祖の寺）
35.0051267789,137.1624166767,144.3112735875,八柱神社のクスノキ
35.2033310059,137.3604941368,144.3112790036,貞観杉
35.2034000796,137.3606094031,144.3113118375,貞観杉
35.2030127776,137.3604107957,144.3114447220,杉本の貞観スギ
34.8843091932,137.0421580839,144.3118772100,八王子貝塚
34.8825689732,137.0414507389,144.3126107096,【西三河】稲荷山茶園公園
34.8825953767,137.0416116714,144.3127055942,稲荷山茶園公園
34.8788604490,137.0385563283,144.3131949697,西尾の抹茶工場見学
34.8763199248,137.0364189148,144.3134861927,【西三河】実相寺（西尾茶の始め）
34.8759733224,137.0363402052,144.3136761869,実相寺釈迦堂
