フィーチャID,形状(WKT),番号,指定区分,種別,名称,市町村名,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
1,POINT(137.183590346615 35.0413373175395),40,県指定,天然記念物,琴平町シデコブシ自生地,豊田市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:43:01
2,POINT(136.718091666698 35.1784266037239),50,県指定,天然記念物,津島神社のイチョウ,津島市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:56:01
3,POINT(136.841763061797 35.1795919174504),5,県指定,天然記念物,下萱津のフジ,海部郡　甚目寺町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:18:19
4,POINT(137.414291199588 34.9634511859082),3,県指定,天然記念物,須山のイヌツゲ,新城市　（旧作手村）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:17:58
5,POINT(137.66311658436 35.0211578683738),10,国指定,天然記念物,乳岩及び乳岩峡,新城市　（旧鳳来町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:27:46
6,POINT(137.086343876683 34.8516041923412),66,県指定,天然記念物,西尾のミカワギセル生息地,西尾市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:48:25
7,POINT(137.076561687442 34.8768571841035),53,県指定,天然記念物,西尾のヒメタイコウチ（生息地）,西尾市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:51:29
8,POINT(137.085114893211 34.9001487053536),69,県指定,天然記念物,本證寺のイブキ,安城市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:47:31
9,POINT(137.034398239921 34.9341712193907),68,県指定,天然記念物,榎前のクロガネモチ,安城市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:47:47
10,POINT(137.056961468217 35.0638706060867),19,国指定,天然記念物,小堤西池のカキツバタ群落,刈谷市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:27:55
11,POINT(137.366966389692 35.0142914049541),53,県指定,天然記念物,切山の大スギ,岡崎市　（旧額田町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:51:06
12,POINT(137.24453319413 34.9373013359499),15,国指定,天然記念物,岡崎ゲンジボタル発生地,岡崎市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:28:05
13,POINT(137.742918620638 35.0671848611277),78,県指定,天然記念物,煮え渕のポットホール,北設楽郡　東栄町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:45:42
14,POINT(137.749547790982 35.0804765661476),78,県指定,天然記念物,預り渕のポットホール,北設楽郡　東栄町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:45:52
15,POINT(137.631326946531 35.1487579053),42,県指定,天然記念物,ホソバシャクナゲ自生地,北設楽郡　設楽町　（旧津具村）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:01:09
16,POINT(137.56764695813 35.2890951851964),12,県指定,天然記念物,玄武岩,豊田市　（旧稲武町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:17:09
17,POINT(137.385215073657 35.188700719824),58,県指定,天然記念物,伊熊神社の社叢,豊田市　（旧旭町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:50:32
18,POINT(137.306701025441 35.1297269704101),55,県指定,天然記念物,足助のヒメハルゼミ,豊田市　（旧足助町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:50:52
19,POINT(137.312755347277 34.8507947386776),28,国指定,天然記念物,御油のマツ並木,豊川市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:28:17
20,POINT(137.236416396256 34.7888572934104),23,国指定,天然記念物,大島ナメクジウオ生息地,蒲郡市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:28:34
21,POINT(137.459819490267 34.7897953861428),30,国指定,天然記念物,石巻山石灰岩地植物群落,豊橋市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:28:44
22,POINT(137.451183527756 34.7442808960806),79,県指定,天然記念物,葦毛湿原,豊橋市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:44:43
23,POINT(137.409430508604 34.7218425323154),26,県指定,天然記念物,高師小僧,豊橋市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:18:38
24,POINT(136.939085857505 35.3089263841296),38,県指定,天然記念物,岩崎の清流亭の藤,小牧市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:03:12
25,POINT(137.01899839835 35.0732506129434),49,県指定,天然記念物,豊明のナガバノイシモチソウ,豊明市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:57:19
27,POINT(136.710797642416 35.1743110617624),37,県指定,天然記念物,下新田の藤,津島市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:02:48
28,POINT(136.799433636334 35.17801064218),15,県指定,天然記念物,七宝町のラカンマキ,海部郡　七宝町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:17:42
29,POINT(137.442020161777 34.9739477532471),33,国指定,天然記念物,甘泉寺のコウヤマキ,新城市　（旧作手村）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:28:53
30,POINT(137.455015418163 35.0007363702617),65,県指定,天然記念物,長の山湿原,新城市　（旧作手村）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:48:37
