フィーチャID,形状(WKT),番号,指定区分,種別,名称,市町村名,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
1,POINT(137.583114907572 34.9829391572179),3,国指定,名勝・天然記念物,鳳来寺山,新城市　（旧鳳来町）,"","",システム管理者,2015/01/26 15:51:02,システム管理者,2020/09/07 09:01:26
2,POINT(137.645127170124 34.9502668087405),4,国指定,名勝・天然記念物,阿寺の七滝,新城市　（旧鳳来町）,"","",システム管理者,2015/01/26 15:51:02,システム管理者,2020/09/07 09:01:06
3,POINT(137.069097877903 35.0091077956561),3,県指定,名勝,八橋伝説地,知立市,"","",システム管理者,2015/01/26 15:51:02,システム管理者,2020/09/18 20:23:06
4,POINT(137.061446755394 35.3270781919382),4,県指定,名勝,内々神社庭園,春日井市,"","",システム管理者,2015/01/26 15:51:02,システム管理者,2020/09/18 20:23:17
5,POINT(136.824915267453 35.3536294232535),1,国指定,名勝・天然記念物,木曽川堤（サクラ）,一宮市,"","",システム管理者,2015/01/26 15:51:02,システム管理者,2020/09/07 09:01:39
6,POINT(136.94644868472 35.3918705772979),2,国指定,名勝,木曽川,犬山市,"","",システム管理者,2015/01/26 15:51:02,システム管理者,2020/09/07 09:02:14
7,POINT(136.874479567334 35.3669020494342),1,国指定,名勝・天然記念物,木曽川堤（サクラ）,江南市,"","",システム管理者,2015/01/26 15:51:02,システム管理者,2020/09/07 09:01:52
8,POINT(137.61431352735 34.9031650148477),5,県指定,名勝,満光寺庭園,新城市　（旧鳳来町）,"","",システム管理者,2015/01/26 15:51:02,システム管理者,2020/09/18 20:23:23
9,POINT(137.601715862466 35.0868482727173),1,県指定,名勝,北設山岳公園岩古谷山,北設楽郡　設楽町,"","",システム管理者,2015/01/26 15:51:02,システム管理者,2020/09/18 20:23:38
10,POINT(136.902713766813 35.1851487356059),6,国指定,名勝,名古屋城二之丸庭園,名古屋市　中区,"","",システム管理者,2015/01/26 15:51:02,システム管理者,2020/09/07 09:03:09
11,POINT(136.919483591526 35.1551028878539),1,国登録,名勝地,鶴舞公園,名古屋市昭和区,"","",システム管理者,2015/01/26 15:51:02,システム管理者,2020/12/11 15:35:59
12,POINT(137.17836488491 35.1752105959479),7,国指定,名勝,旧龍性院庭園,豊田市,"","",システム管理者,2020/09/07 09:05:12,システム管理者,""
13,POINT(136.770185770766 35.2055103891062),2,県指定,名勝,蓮華寺庭園,あま市,"","",システム管理者,2020/09/18 20:26:25,システム管理者,""
14,POINT(136.73640735292 35.3059960206952),2,国登録,名勝地,旧林氏庭園,一宮市,"","",システム管理者,2020/12/11 15:35:48,システム管理者,""
