フィーチャID,形状(WKT),名称,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
118,POINT(136.897073873442 34.7203032245349),【知多】西方寺,"","",システム管理者,2023/01/19 15:29:38,システム管理者,""
119,POINT(136.905728711352 34.7274959262997),【知多】天龍寺,"","",システム管理者,2023/01/19 15:31:29,システム管理者,""
120,POINT(136.872128248215 34.7339905333702),【知多】泉蔵院,"","",システム管理者,2023/01/19 15:32:55,システム管理者,""
121,POINT(136.873522996902 34.7396111948248),【知多】如意輪寺,"","",システム管理者,2023/01/19 15:34:32,システム管理者,""
122,POINT(136.874756813049 34.7482376153073),【知多】持宝院,"","",システム管理者,2023/01/19 15:36:29,システム管理者,""
123,POINT(136.849822998047 34.7551619029541),【知多】良参寺,"","",システム管理者,2023/01/19 15:37:50,システム管理者,""
124,POINT(136.941093206406 35.0004767414619),【知多】常福寺,"","",システム管理者,2023/01/19 15:39:23,システム管理者,""
125,POINT(136.96773827076 34.9919426661089),【知多】極楽寺,"","",システム管理者,2023/01/19 15:40:39,システム管理者,""
126,POINT(136.968730688095 34.986532603449),【知多】傳宗院,"","",システム管理者,2023/01/19 15:42:37,システム管理者,""
127,POINT(136.899079084396 35.0231259561176),【知多】弥勒寺,"","",システム管理者,2023/01/19 15:45:01,システム管理者,""
128,POINT(136.896579265594 35.0195587365385),【知多】観福寺,"","",システム管理者,2023/01/19 15:48:36,システム管理者,""
129,POINT(136.882095336914 34.9718695803163),【知多】正法院,"","",システム管理者,2023/01/19 15:49:34,システム管理者,""
130,POINT(136.882420633018 34.9714205000226),【知多】密厳寺,"","",システム管理者,2023/01/19 15:50:13,システム管理者,""
131,POINT(136.882207989693 34.971909142364),【知多】誕生堂,"","",システム管理者,2023/01/19 15:53:57,システム管理者,""
132,POINT(136.881843209267 34.9709596479478),【知多】如意寺,"","",システム管理者,2023/01/19 15:54:46,システム管理者,""
133,POINT(136.882041692734 34.9724849877825),【知多】浄蓮寺,"","",システム管理者,2023/01/19 15:57:24,システム管理者,""
134,POINT(136.864784359932 34.7724502528562),【知多】法山寺,"","",システム管理者,2023/01/19 15:58:28,システム管理者,""
135,POINT(137.036418914795 34.876319924785),【西三河】実相寺（西尾茶の始め）,"","",システム管理者,2023/01/19 16:08:56,システム管理者,2023/01/24 15:18:22
136,POINT(137.035104632378 34.8805402849421),【西三河】紅樹院（茶祖の寺）,"","",システム管理者,2023/01/19 16:10:31,システム管理者,2023/01/24 15:20:09
137,POINT(137.041450738907 34.8825689732359),【西三河】稲荷山茶園公園,"","",システム管理者,2023/01/19 16:12:57,システム管理者,""
138,POINT(137.056631380272 34.869056566302),【西三河】義倉蔵（ぎそうぐら）,"","",システム管理者,2023/01/19 16:15:47,システム管理者,2023/01/24 15:21:56
139,POINT(137.059507369995 34.8303264056703),【西三河】天竹神社の棉祖神,"","",システム管理者,2023/01/20 11:07:13,システム管理者,""
140,POINT(137.075322830958 34.8751378522121),【西三河】八ツ面山（やつおもてやま）,"","",システム管理者,2023/01/20 11:09:15,システム管理者,""
141,POINT(137.072693109512 34.8093108597247),【西三河】国宝金蓮寺（こんれんじ）弥陀堂,"","",システム管理者,2023/01/20 11:11:42,システム管理者,2023/01/24 15:25:42
142,POINT(137.050709724426 34.865849503585),【西三河】尚古荘,"","",システム管理者,2023/01/20 11:15:44,システム管理者,2023/02/09 14:37:08
143,POINT(137.051557302475 34.8359361035491),【西三河】西尾市憩の農園・バラ園,"","",システム管理者,2023/01/20 11:17:02,システム管理者,""
144,POINT(137.02766418457 34.8056021956594),【西三河】一色学びの館,"","",システム管理者,2023/01/20 11:17:57,システム管理者,""
145,POINT(137.161495685577 34.8160054126493),【西三河】三ヶ根山,"","",システム管理者,2023/01/20 11:20:34,システム管理者,2023/02/09 14:44:07
146,POINT(137.159070968628 34.7923430177332),【西三河】愛知こどもの国,"","",システム管理者,2023/01/20 11:21:50,システム管理者,""
147,POINT(137.164006233215 34.785223589325),【西三河】三河湾の彼方に沈む夕日,"","",システム管理者,2023/01/23 09:54:58,システム管理者,2023/01/23 10:41:46
148,POINT(137.091200351715 34.7776100552643),【西三河】西尾市吉良町宮崎海岸,"","",システム管理者,2023/01/23 09:58:00,システム管理者,2023/01/23 10:42:08
149,POINT(137.065966129303 34.7853293279062),【西三河】海苔養殖風景,"","",システム管理者,2023/01/23 10:00:58,システム管理者,2023/01/23 10:43:11
150,POINT(137.037234306335 34.784166196058),【西三河】鰻養殖ハウス群,"","",システム管理者,2023/01/23 10:03:12,システム管理者,2023/01/23 10:43:33
151,POINT(137.044591729515 34.7247932341593),【西三河】カモメの駐車場,"","",システム管理者,2023/01/23 10:05:03,システム管理者,2023/01/23 10:44:08
152,POINT(137.048660516739 34.72238210651),【西三河】佐久島八劔神社,"","",システム管理者,2023/01/23 10:06:25,システム管理者,2023/01/23 10:44:27
153,POINT(137.017107009888 34.9725289452818),【西三河】フローラルガーデンよさみ,"","",システム管理者,2023/01/23 10:11:40,システム管理者,2023/01/24 15:44:20
154,POINT(136.989598274231 34.9214432192377),【西三河】鬼のみち,"","",システム管理者,2023/01/23 10:15:53,システム管理者,2023/01/23 10:45:31
155,POINT(136.991577744484 34.9436481826742),【西三河】吉浜細工人形,"","",システム管理者,2023/01/23 10:19:05,システム管理者,2023/02/09 14:52:04
156,POINT(137.013072967529 34.9046744682429),【西三河】油ヶ淵,"","",システム管理者,2023/01/23 10:21:03,システム管理者,2023/01/23 10:47:08
157,POINT(137.048499584198 35.0408982302414),【西三河】刈谷ハイウェイオアシス,"","",システム管理者,2023/01/23 10:24:07,システム管理者,2023/01/23 10:47:30
158,POINT(137.099740505219 34.9867699329485),【西三河】明治川神社,"","",システム管理者,2023/01/23 10:30:09,システム管理者,2023/01/23 10:47:57
159,POINT(137.100384235382 34.9864710734665),【西三河】明治用水沿線の桜並木、梨畑,"","",システム管理者,2023/01/23 10:32:04,システム管理者,2023/01/23 10:48:21
160,POINT(137.313083410263 35.1304562194231),【豊田加茂】香嵐渓グリーンファーム,"","",システム管理者,2023/01/23 10:36:40,システム管理者,2023/01/24 10:24:17
162,POINT(137.239826917648 35.0752546096098),【豊田加茂】巴川おう穴,"","",システム管理者,2023/01/23 11:17:15,システム管理者,2023/01/23 11:19:07
163,POINT(137.237091064453 35.0711189092102),【豊田加茂】天下峯,"","",システム管理者,2023/01/23 11:20:57,システム管理者,2023/01/23 11:30:53
