フィーチャID,形状(WKT),番号,指定区分,名称,市町村名,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
287,POINT(136.925631958178 35.1936039756908),0337,国登録,石原家住宅,名古屋市北区,"","",システム管理者,2020/09/18 17:32:47,システム管理者,""
288,POINT(137.168766790126 34.961728791348),0338-0340,国登録,旧石原家住宅,岡崎市,"","",システム管理者,2020/09/18 17:33:52,システム管理者,""
289,POINT(136.921725146598 35.168609506896),0341-0344,国登録,神谷家住宅,名古屋市中区,"","",システム管理者,2020/09/18 17:46:02,システム管理者,""
290,POINT(136.932126386868 35.1861447067254),0345,国登録,日本福音ルーテル復活教会,名古屋市東区,"","",システム管理者,2020/09/18 17:47:05,システム管理者,""
291,POINT(136.939956515154 35.3776194365957),0346-0350,国登録,徳授寺,犬山市,"","",システム管理者,2020/09/18 17:48:11,システム管理者,""
292,POINT(136.941885901731 35.3822067375729),0351-0355,国登録,圓明寺,犬山市,"","",システム管理者,2020/09/18 17:53:20,システム管理者,""
293,POINT(136.938151903219 35.3788964686305),0356-0358,国登録,祥雲寺,犬山市,"","",システム管理者,2020/09/18 17:55:07,システム管理者,""
294,POINT(137.162722413745 34.9203541719375),0359,国登録,旧愛知県第二尋常中学校講堂,岡崎市,"","",システム管理者,2020/09/18 17:56:55,システム管理者,""
295,POINT(137.225663564777 35.1413949731578),0360-0364,国登録,如意寺,豊田市,"","",システム管理者,2020/09/18 17:58:06,システム管理者,""
296,POINT(136.93895890534 35.3829943535305),0365,国登録,大島家住宅茶室,犬山市,"","",システム管理者,2020/09/18 18:00:25,システム管理者,""
297,POINT(136.945713004383 35.3459745815211),0366-0370,国登録,吉野家住宅,犬山市,"","",システム管理者,2020/09/18 18:01:53,システム管理者,""
298,POINT(136.952035063746 35.3505922647426),0371,国登録,旧加茂郡銀行羽黒支店,犬山市,"","",システム管理者,2020/09/18 19:38:54,システム管理者,""
299,POINT(136.867292753162 34.9647747179904),0372,国登録,知多岡田簡易郵便局,知多市,"","",システム管理者,2020/09/18 19:39:56,システム管理者,""
300,POINT(136.943546415009 35.1349488740856),0373-0375,国登録,東山荘,名古屋市瑞穂区,"","",システム管理者,2020/09/18 19:40:49,システム管理者,2020/10/27 15:35:06
301,POINT(137.399976782402 34.663066864568),0376-0377,国登録,小野田家住宅,豊橋市,"","",システム管理者,2020/09/18 19:42:03,システム管理者,""
302,POINT(136.918906257872 34.9165046392351),0378-0380,国登録,蓮慶寺,知多郡　阿久比町,"","",システム管理者,2020/09/18 19:43:51,システム管理者,""
303,POINT(136.876904051955 35.1605165587798),0381,国登録,筧家住宅主屋,名古屋市中村区,"","",システム管理者,2020/10/27 15:34:20,システム管理者,""
304,POINT(137.172775486908 34.9574588184345),0382,国登録,日本福音ルーテル岡崎協会教会堂,岡崎市,"","",システム管理者,2020/10/27 15:36:31,システム管理者,""
305,POINT(137.170007411295 34.9646407133861),0383,国登録,旧愛知県岡崎師範学校武道場,岡崎市,"","",システム管理者,2020/10/27 15:38:22,システム管理者,""
306,POINT(137.151917050043 35.0869488759453),0384,国登録,喜楽亭,豊田市,"","",システム管理者,2020/10/27 15:41:05,システム管理者,""
307,POINT(137.535694601509 34.9422308444755),0385-0389,国登録,龍泉寺,新城市,"","",システム管理者,2020/10/27 15:44:30,システム管理者,""
308,POINT(137.536041905152 34.9437451332027),0390-0391,国登録,八平神社,新城市,"","",システム管理者,2020/10/27 15:46:50,システム管理者,""
309,POINT(137.55064009679 34.9360533092708),0392,国登録,瀧神社本殿,新城市,"","",システム管理者,2020/10/27 15:53:06,システム管理者,""
310,POINT(137.033451616788 35.1289325881751),0393,国登録,旧市川家住宅主屋,日進市,"","",システム管理者,2020/10/27 15:55:05,システム管理者,2020/10/27 16:31:48
311,POINT(136.867816281835 34.9648585361485),0394,国登録,木綿蔵ちた,知多市,"","",システム管理者,2020/10/27 16:00:56,システム管理者,""
312,POINT(137.040792505047 35.0128684858935),0395-0400,国登録,知立神社,知立市,"","",システム管理者,2020/10/27 16:03:22,システム管理者,""
313,POINT(137.532757475846 35.0575477093672),0401-0402,国登録,設楽町立田峯小学校,北設楽郡　設楽町,"","",システム管理者,2020/10/27 16:09:56,システム管理者,2020/10/27 16:32:08
314,POINT(136.932323939878 35.1842077100997),0403-0408,国登録,徳川園・蓬左文庫旧書庫・蘇山荘,名古屋市東区,"","",システム管理者,2020/10/27 16:19:40,システム管理者,2020/10/27 16:29:50
315,POINT(136.933188603771 35.1837461171529),0409-0411,国登録,徳川美術館,名古屋市東区,"","",システム管理者,2020/10/27 16:31:07,システム管理者,""
316,POINT(137.450077219916 34.7245997515119),0412-0413,国登録,西駒屋田村家住宅,豊橋市,"","",システム管理者,2020/10/27 17:18:04,システム管理者,""
317,POINT(137.190383302172 34.9527839462016),0414,国登録,旧本田家住宅主屋,岡崎市,"","",システム管理者,2020/10/27 17:29:08,システム管理者,""
318,POINT(137.35583782196 34.873364663534),080,国指定,財賀寺,豊川市,"","",システム管理者,2020/10/27 18:28:47,システム管理者,""
319,POINT(137.356816761377 34.8750465579265),04184-0419,国登録,八所神社,豊川市,"","",システム管理者,2020/10/27 18:31:08,システム管理者,""
320,POINT(136.820356900932 35.1743850340054),0420,国登録,明眼院旧多宝塔,海部郡　大治町,"","",システム管理者,2020/10/27 18:33:22,システム管理者,""
321,POINT(136.921932053042 35.1745015000318),0421-0422,国登録,日本陶磁器センター,名古屋市東区,"","",システム管理者,2020/10/27 18:39:53,システム管理者,""
322,POINT(136.923911682296 35.1728495124172),0423,国登録,名古屋カテドラル聖ペトロ聖パウロ大聖堂,名古屋市東区,"","",システム管理者,2020/12/08 19:08:04,システム管理者,""
323,POINT(136.943198727296 35.3834139989747),0424,国登録,旧小守家住宅主屋,犬山市,"","",システム管理者,2020/12/08 19:10:01,システム管理者,""
324,POINT(137.606426882447 34.9500609541786),0425,国登録,旧料亭菊水,新城市,"","",システム管理者,2020/12/08 19:13:02,システム管理者,""
325,POINT(136.965225040913 35.0130477202649),0426,国登録,大倉公園休憩棟（旧大倉和親別荘離れ）,大府市,"","",システム管理者,2020/12/08 19:15:32,システム管理者,2020/12/08 19:16:57
326,POINT(136.965852677822 35.0126479041272),0427,国登録,大倉公園茅吹門（旧大倉和親別荘表門）,大府市,"","",システム管理者,2020/12/08 19:17:19,システム管理者,""
327,POINT(136.900606374201 35.1526273543687),0428,国登録,崇覚寺本堂,名古屋市中区,"","",システム管理者,2020/12/08 19:27:34,システム管理者,""
328,POINT(136.946863894798 35.1429163808453),0429,国登録,鈴木家住宅主屋,名古屋市昭和区,"","",システム管理者,2020/12/08 19:29:08,システム管理者,""
329,POINT(137.170301377773 34.9564543131222),0430-0433,国登録,善立寺,岡崎市,"","",システム管理者,2020/12/08 19:35:03,システム管理者,""
330,POINT(137.10125733999 35.2281269041629),0434-0442,国登録,旧山繁商店,瀬戸市,"","",システム管理者,2020/12/08 19:42:27,システム管理者,""
331,POINT(136.865334847207 34.9671127108589),0443-0448,国登録,旧岡田医院,知多市,"","",システム管理者,2020/12/08 19:50:02,システム管理者,""
332,POINT(137.024620565166 34.9945748761477),0449-0451,国登録,萬福寺,知立市,"","",システム管理者,2020/12/08 19:51:35,システム管理者,""
333,POINT(136.84671948783 34.7692250725124),0452,国登録,野間郵便局旧局舎,知多郡美浜町,"","",システム管理者,2020/12/08 19:58:38,システム管理者,""
334,POINT(136.920918888894 34.8574087685647),0453-0457,国登録,三井家住宅,知多郡武豊町,"","",システム管理者,2020/12/08 20:01:26,システム管理者,""
335,POINT(137.450072040826 34.7622457074843),0458,国登録,豊橋市民俗資料館収蔵室本棟（旧多米小学校本校舎）,豊橋市,"","",システム管理者,2020/12/08 20:04:42,システム管理者,""
336,POINT(137.450527846813 34.7625307170916),0459,国登録,豊橋市民俗資料館収蔵室西棟（旧多米小学校西校舎）,豊橋市,"","",システム管理者,2020/12/08 20:05:36,システム管理者,""
337,POINT(137.083507163476 35.2814352433667),0460,国登録,旧中央線玉野第三隧道,春日井市,"","",システム管理者,2020/12/08 20:11:33,システム管理者,""
338,POINT(137.086780071259 35.2842419304958),0461,国登録,旧中央線玉野第四隧道,春日井市,"","",システム管理者,2020/12/08 20:13:53,システム管理者,""
339,POINT(137.089494466782 35.2862737403983),0462,国登録,旧中央線傘石洞暗渠,春日井市,"","",システム管理者,2020/12/08 20:15:31,システム管理者,""
340,POINT(136.720390681593 35.1766645238854),0463-0467,国登録,旧堀田廣之家住宅,津島市,"","",システム管理者,2020/12/08 20:17:54,システム管理者,""
341,POINT(136.922574688411 34.8553095403927),0468-0470,国登録,中定商店,知多郡武豊町,"","",システム管理者,2020/12/08 20:23:00,システム管理者,""
342,POINT(137.011927101914 35.1565053322748),0471-0475,国登録,蓮教寺,名古屋市名東区,"","",システム管理者,2020/12/08 20:27:51,システム管理者,""
343,POINT(137.011514041726 35.1565316473882),0476,国登録,梵音寺本堂,名古屋市名東区,"","",システム管理者,2020/12/08 20:30:17,システム管理者,""
344,POINT(137.20761954235 35.2005649262436),0477,国登録,豊田市藤岡民俗資料館（旧藤岡中学校特別教室棟）,豊田市,"","",システム管理者,2020/12/08 20:32:34,システム管理者,""
345,POINT(137.065118632188 34.7937256616578),0478,国登録,颯田家住宅主屋,西尾市,"","",システム管理者,2020/12/08 20:36:56,システム管理者,""
346,POINT(136.938725473926 35.1838416300954),0479,国登録,愛知県立旭丘高等学校正門門柱（旧愛知県立第一中学校正門）,名古屋市東区,"","",システム管理者,2020/12/10 18:22:42,システム管理者,""
347,POINT(136.854233107772 35.1747870491672),0480,国登録,中村公園記念館,名古屋市中村区,"","",システム管理者,2020/12/10 18:26:51,システム管理者,""
348,POINT(136.854058764186 35.174659887921),0481,国登録,中村公園豊頌軒,名古屋市中村区,"","",システム管理者,2020/12/10 18:27:28,システム管理者,""
349,POINT(136.930203144044 35.1320615311919),0482,国登録,愛知県立瑞陵高等学校正門門柱（旧愛知商業学校正門）,名古屋市瑞穂区,"","",システム管理者,2020/12/10 18:30:06,システム管理者,""
350,POINT(136.841803001941 35.106774673682),0483,国登録,愛知県立惟信高等学校正門門柱（旧愛知県惟信学校正門）,名古屋市港区,"","",システム管理者,2020/12/10 18:31:25,システム管理者,""
351,POINT(137.169847012056 34.9463627168119),0484,国登録,愛知県立岡崎高等学校正門門柱（旧愛知県立第二中学校正門）,岡崎市,"","",システム管理者,2020/12/10 18:32:14,システム管理者,""
352,POINT(137.173742484595 34.9998641599868),0485,国登録,愛知県立岩津高等学校正門旧門柱（旧岩津町立愛知県岩津農商学校正門）,岡崎市,"","",システム管理者,2020/12/10 18:33:06,システム管理者,""
353,POINT(136.92403656691 34.8916766217691),0486,国登録,愛知県立半田商業高等学校正門門柱（旧愛知県知多郡立高等女学校正門）,半田市,"","",システム管理者,2020/12/10 18:34:06,システム管理者,""
354,POINT(136.715900646596 35.1656048750315),0487,国登録,愛知県立津島高等学校正門門柱（旧愛知県津島中学校正門）,津島市,"","",システム管理者,2020/12/10 18:35:00,システム管理者,""
355,POINT(136.993853772019 34.8853394366588),0488,国登録,愛知県立碧南高等学校正門門柱（旧愛知県碧南国民学校正門）,碧南市,"","",システム管理者,2020/12/10 18:35:41,システム管理者,""
356,POINT(136.998271770521 34.9830472880658),0489,国登録,愛知県立刈谷高等学校正門門柱（旧愛知県刈谷中学校正門）,刈谷市,"","",システム管理者,2020/12/10 18:36:16,システム管理者,""
357,POINT(137.079137475513 34.9677012876035),0490,国登録,愛知県立安城農林高等学校正門門柱（旧愛知県安城農林学校正門）,安城市,"","",システム管理者,2020/12/10 18:36:54,システム管理者,""
358,POINT(137.048521234966 34.8725681782223),0491,国登録,愛知県立鶴城丘高等学校正門門柱（旧愛知県蚕糸学校正門）,西尾市,"","",システム管理者,2020/12/10 18:37:26,システム管理者,""
359,POINT(137.055107006672 34.88216583709),0492,国登録,愛知県立西尾高等学校通用門門柱（旧愛知県西尾中学校正門）,西尾市,"","",システム管理者,2020/12/10 18:38:02,システム管理者,""
360,POINT(136.918685247786 35.2917793726087),0494,国登録,愛知県立小牧高等学校正門門柱（旧愛知県小牧中学校正門）,小牧市,"","",システム管理者,2020/12/10 18:39:54,システム管理者,""
361,POINT(136.865711991158 34.9666091933383),0495-0500,国登録,旧中七木綿本店,知多市,"","",システム管理者,2020/12/10 18:41:10,システム管理者,""
362,POINT(137.406374443388 34.865715546469),0501-0504,国登録,大谷家住宅,豊川市,"","",システム管理者,2020/12/10 18:43:38,システム管理者,""
363,POINT(137.157524128479 35.1001420611057),0505,国登録,安長寺山門,豊田市,"","",システム管理者,2020/12/10 18:45:38,システム管理者,""
364,POINT(137.069104662779 34.796385315184),0506-0508,国登録,宝珠院,西尾市,"","",システム管理者,2020/12/10 18:47:36,システム管理者,""
365,POINT(136.874393107944 35.155324808947),0509-0514,国登録,善行寺,名古屋市中川区,"","",システム管理者,2020/12/10 18:49:50,システム管理者,""
366,POINT(136.997931943285 34.9908324499214),0515-0516,国登録,愛知製鋼刈谷工場旧試作工場（旧豊田自動織機製作所自動車部試作工場）,刈谷市,"","",システム管理者,2020/12/10 18:53:19,システム管理者,""
367,POINT(136.948132285939 35.1677044128499),0517-0522,国登録,爲三郎記念館,名古屋市千種区,"","",システム管理者,2020/12/10 18:58:06,システム管理者,""
368,POINT(136.902870138963 35.1511125389458),0523,国登録, 真宗大谷派名古屋別院東門及び土塀,名古屋市中区,"","",システム管理者,2020/12/10 19:00:58,システム管理者,""
369,POINT(136.934709966318 35.0954064454502),0524,国登録,七所神社本殿,名古屋市南区,"","",システム管理者,2020/12/10 19:04:09,システム管理者,""
370,POINT(137.411305904388 34.7920280312657),0525,国登録,豊橋市上水道施設下条取水場旧ポンプ室,豊橋市,"","",システム管理者,2020/12/10 19:08:40,システム管理者,""
371,POINT(137.413415652776 34.7886402574034),0526,国登録,豊橋市上水道施設大江川水道橋,豊橋市,"","",システム管理者,2020/12/10 19:09:54,システム管理者,""
372,POINT(137.430982604133 34.7653258398176),0527-0528,国登録,豊橋市上水道施設小鷹野浄水場,豊橋市,"","",システム管理者,2020/12/10 19:11:33,システム管理者,2020/12/10 19:12:10
373,POINT(137.432893663645 34.7649242281929),0529,国登録,豊橋市上水道施設多米浄水場旧配水池,豊橋市,"","",システム管理者,2020/12/10 19:14:48,システム管理者,""
374,POINT(136.905664684003 35.363540026661),0530,国登録,川田家住宅主屋,丹羽郡　扶桑町,"","",システム管理者,2020/12/10 19:15:42,システム管理者,2020/12/10 19:16:29
375,POINT(136.873473052349 34.7346655797992),0531-0535,国登録,旧内田佐平二家住宅,知多郡　南知多町,"","",システム管理者,2020/12/10 19:20:52,システム管理者,""
376,POINT(137.498395027635 34.9024108484727),0536-0541,国登録,永住寺,新城市,"","",システム管理者,2020/12/10 19:21:39,システム管理者,""
377,POINT(136.950733547275 35.1421400217295),0542-0545,国登録,川原田家住宅,名古屋市昭和区,"","",システム管理者,2020/12/10 19:23:42,システム管理者,""
378,POINT(137.261088188989 34.8902039007749),0546-0547,国登録,冨田家住宅,岡崎市,"","",システム管理者,2020/12/10 19:26:17,システム管理者,""
379,POINT(136.919124671663 35.1566975228226),0548,国登録,名古屋市公会堂,名古屋市昭和区,"","",システム管理者,2020/12/10 19:26:56,システム管理者,""
380,POINT(136.759522078979 35.3353307823576),0549-0557,国登録,葛利毛織工業株式会社,一宮市,"","",システム管理者,2020/12/10 19:27:47,システム管理者,""
